# id	left	top	right	bottom	texture_id
# list of object assets to load in this scene
[ASSETS]
mario.txt
cloud.txt
stage1_assets.txt
pipe.txt
HUD.txt
power_up.txt
HUD.txt
effect.txt
goal.txt
goalblock.txt
boomerang-bro.txt

[MAP_INFO]
32.5

[CAMERA_ZONES]
-1 1.5 32 14.5
600 44 -33 69901
600 44 -22 69901
600 44 -11 69901
600 44 0 69901
600 44 11 69901

### đen thui dọc
600 45 -33 69901
600 45 -22 69901
600 45 -11 69901
600 45 0 69901
600 45 11 69901

### đen thui dọc
600 46 -33 69901
600 46 -22 69901
600 46 -11 69901
600 46 0 69901
600 46 11 69901

### đen thui dọc
600 47 -33 69901
600 47 -22 69901
600 47 -11 69901
600 47 0 69901
600 47 11 69901

### đen thui dọc
600 48 -33 69901
600 48 -22 69901
600 48 -11 69901
600 48 0 69901
600 48 11 69901

### đen thui dọc
600 49 -33 69901
600 49 -22 69901
600 49 -11 69901
600 49 0 69901
600 49 11 69901

### đen thui dọc
600 50 -33 69901
600 50 -22 69901
600 50 -11 69901
600 50 0 69901
600 50 11 69901

### đen thui dọc
600 51 -33 69901
600 51 -22 69901
600 51 -11 69901
600 51 0 69901
600 51 11 69901

### đen thui dọc
600 52 -33 69901
600 52 -22 69901
600 52 -11 69901
600 52 0 69901
600 52 11 69901

### đen thui dọc
600 53 -33 69901
600 53 -22 69901
600 53 -11 69901
600 53 0 69901
600 53 11 69901

### đen thui dọc
600 54 -33 69901
600 54 -22 69901
600 54 -11 69901
600 54 0 69901
600 54 11 69901

### đen thui dọc
600 55 -33 69901
600 55 -22 69901
600 55 -11 69901
600 55 0 69901
600 55 11 69901

### đen thui dọc
600 56 -33 69901
600 56 -22 69901
600 56 -11 69901
600 56 0 69901
600 56 11 69901

### đen thui dọc
600 57 -33 69901
600 57 -22 69901
600 57 -11 69901
600 57 0 69901
600 57 11 69901


#### ================== GOAL BLOCK ==================
#### goal bg
600 25 6 69991
309 25 7

